ID,present,WC_alt,WC_bio1,WC_bio2,WC_bio6,WC_bio12,ER_tri,ER_topoWet,lon,lat
3519,0,1559,12.5,14.600000381469727,-3.0999999046325684,256,57.869998931884766,9.289999961853027,-117.87500000000033,36.125
3520,0,114,17.399999618530273,16.299999237060547,2.200000047683716,174,2.4700000286102295,12.25,-120.12500000000033,36.208333333333336
3521,0,1001,10.100000381469727,16,-2.299999952316284,1259,83.660003662109375,8.5600004196167,-123.291666666667,40.208333333333336
3522,0,746,16.200000762939453,15.100000381469727,-0.30000001192092896,224,4.010000228881836,11.899999618530273,-118.291666666667,34.791666666666664
3523,0,649,19.399999618530273,15.899999618530273,1.5,92,23.200000762939453,11.010000228881836,-116.541666666667,35.041666666666664
3524,0,345,21.299999237060547,15.699999809265137,2.5999999046325684,70,14.550000190734863,11.220000267028809,-116.041666666667,35.291666666666664
3525,0,924,9.600000381469727,16.5,-4.5,556,116.73999786376953,7.869999885559082,-122.70833333333367,41.875
3526,0,116,18.299999237060547,14.699999809265137,2.799999952316284,159,1.5099999904632568,13.479999542236328,-119.12500000000033,35.375
3527,0,1285,15.100000381469727,15.899999618530273,-0.10000000149011612,314,50.209999084472656,9.670000076293945,-116.20833333333367,34.041666666666664
3528,0,1471,6.900000095367432,14.199999809265137,-4.400000095367432,1277,126.61000061035156,7.800000190734863,-123.45833333333367,41.041666666666664
3529,0,1521,6.400000095367432,15.800000190734863,-8.399999618530273,446,36.7599983215332,10.109999656677246,-122.041666666667,41.708333333333336
3530,0,42,17.200000762939453,12.399999618530273,6.199999809265137,301,8.729999542236328,11.229999542236328,-117.791666666667,33.708333333333336
3531,0,2670,3.700000047683716,12.399999618530273,-8,790,99.98999786376953,7.840000152587891,-119.37500000000033,37.541666666666664
3532,0,933,14.699999809265137,14.300000190734863,1.5,599,115.56999969482422,8.239999771118164,-118.041666666667,34.208333333333336
3533,0,2035,6.300000190734863,13.899999618530273,-6.900000095367432,1126,100.81999969482422,8.430000305175781,-120.20833333333367,38.791666666666664
3534,0,39,22.700000762939453,17.600000381469727,4.5,55,4.199999809265137,13.329999923706055,-115.12500000000033,32.875
3535,0,721,16.399999618530273,16.100000381469727,2.0999999046325684,525,82.160003662109375,9.079999923706055,-117.37500000000033,34.208333333333336
3536,0,1198,10,15.699999809265137,-3.5999999046325684,1082,174.25,7.900000095367432,-121.291666666667,39.958333333333336
3537,0,1790,6.099999904632568,16.899999618530273,-10,380,30.899999618530273,10.180000305175781,-120.45833333333367,40.791666666666664
3538,0,657,13.399999618530273,17.200000762939453,0.4000000059604645,536,57.2400016784668,9.539999961853027,-121.291666666667,36.541666666666664
3539,0,91,16.5,16.399999618530273,1.7000000476837158,191,2.7699999809265137,12.40999984741211,-120.541666666667,36.708333333333336
3540,0,526,10.699999809265137,12.300000190734863,1.100000023841858,1848,82.20999908447266,8.779999732971191,-123.95833333333367,40.208333333333336
3541,0,1263,9.600000381469727,15.100000381469727,-2.5999999046325684,1240,122.19000244140625,7.650000095367432,-122.95833333333367,39.708333333333336
3542,0,274,12,14,1.5,1230,67.5,9.180000305175781,-123.541666666667,39.458333333333336
3543,0,162,15.5,13.199999809265137,4.900000095367432,434,31.399999618530273,10.510000228881836,-119.20833333333367,34.291666666666664
3544,0,1017,14.800000190734863,15.899999618530273,0.8999999761581421,461,94.529998779296875,8.279999732971191,-116.45833333333367,32.958333333333336
3545,0,1289,7.199999809265137,14,-4.199999809265137,1200,139.08999633789062,7.590000152587891,-123.541666666667,41.791666666666664
3546,0,1296,11.899999618530273,14.399999618530273,-1.600000023841858,855,85.37000274658203,8.670000076293945,-119.291666666667,37.041666666666664
3547,0,1658,6.699999809265137,15.800000190734863,-7.699999809265137,794,18.8700008392334,10.9399995803833,-121.291666666667,40.708333333333336
3548,0,599,16,14.300000190734863,3.4000000953674316,457,47.470001220703125,10.069999694824219,-117.291666666667,33.54166666666667
3549,0,1912,5.800000190734863,15.399999618530273,-8.899999618530273,452,61.380001068115234,8.600000381469727,-120.291666666667,41.458333333333336
3550,0,256,14,14.899999618530273,2.5999999046325684,417,55.880001068115234,9.770000457763672,-121.45833333333367,36.625
3551,0,536,21.100000381469727,13.600000381469727,4.599999904632568,143,11.300000190734863,11.600000381469727,-114.70833333333367,34.625
3552,0,688,17.5,16.399999618530273,0,114,9.279999732971191,12.279999732971191,-117.95833333333367,35.208333333333336
3553,0,662,20.200000762939453,13.199999809265137,3.9000000953674316,141,16.790000915527344,11.399999618530273,-114.87500000000033,35.041666666666664
3554,0,28,16.399999618530273,15.5,2.200000047683716,276,2.509999990463257,12.739999771118164,-121.041666666667,37.375
3555,0,1799,10.699999809265137,15.399999618530273,-6.300000190734863,189,113.98999786376953,7.730000019073486,-117.62500000000033,36.958333333333336
3556,0,27,16.5,14.800000190734863,2.5999999046325684,533,7.619999885559082,13.550000190734863,-121.70833333333367,39.208333333333336
3557,0,1182,8.100000381469727,15.899999618530273,-5.699999809265137,621,114.08000183105469,7.739999771118164,-122.791666666667,41.791666666666664
3558,0,175,22.399999618530273,15.899999618530273,4.699999809265137,81,18.18000030517578,12.1899995803833,-114.791666666667,33.375
3559,0,1563,7.400000095367432,16.799999237060547,-8.100000381469727,464,70.589996337890625,9.15999984741211,-120.62500000000033,40.458333333333336
3560,0,13,22.299999237060547,16.899999618530273,5,99,4.809999942779541,12.859999656677246,-115.791666666667,32.875
3561,0,1515,7.300000190734863,16.700000762939453,-8.199999809265137,401,6.659999847412109,12.399999618530273,-120.87500000000033,41.625
3562,0,2740,2.799999952316284,13,-9.800000190734863,888,128.75999450683594,7.960000038146973,-119.70833333333367,38.375
3563,0,1520,7.400000095367432,16.100000381469727,-7.699999809265137,438,25.260000228881836,10.539999961853027,-121.12500000000033,41.458333333333336
3564,0,1033,16.600000381469727,15.600000381469727,-0.30000001192092896,129,23.329999923706055,10.859999656677246,-116.95833333333367,35.208333333333336
3565,0,154,22.899999618530273,15.100000381469727,5.5,76,7.699999809265137,11.720000267028809,-115.12500000000033,33.625
3566,0,151,17.799999237060547,15.800000190734863,2.200000047683716,259,5.730000019073486,12.380000114440918,-119.041666666667,35.958333333333336
3567,0,1,11.800000190734863,7.900000095367432,4.800000190734863,1131,11.289999961853027,11.180000305175781,-124.12500000000033,40.875
